,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.096 +/- 0.151,0.13 +/- 0.176,0.142 +/- 0.168,0.155 +/- 0.159
alzheimer disease,0.061 +/- 0.121,0.061 +/- 0.121,0.061 +/- 0.121,0.061 +/- 0.121
amino acid metabolism inborn errors,0.072 +/- 0.077,0.148 +/- 0.113,0.184 +/- 0.112,0.22 +/- 0.104
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.091 +/- 0.084,0.135 +/- 0.086,0.174 +/- 0.072,0.215 +/- 0.087
anemia hemolytic,0.109 +/- 0.117,0.134 +/- 0.122,0.134 +/- 0.122,0.142 +/- 0.128
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.026 +/- 0.052
arrhythmias cardiac,0.099 +/- 0.111,0.11 +/- 0.111,0.12 +/- 0.114,0.137 +/- 0.106
arterial occlusive diseases,0.021 +/- 0.026,0.021 +/- 0.026,0.021 +/- 0.026,0.021 +/- 0.026
arteriosclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.016,0.015 +/- 0.019
arthritis rheumatoid,0.02 +/- 0.04,0.029 +/- 0.057,0.045 +/- 0.052,0.053 +/- 0.054
asthma,0.051 +/- 0.101,0.051 +/- 0.101,0.051 +/- 0.101,0.058 +/- 0.099
basal ganglia diseases,0.12 +/- 0.08,0.129 +/- 0.093,0.129 +/- 0.093,0.129 +/- 0.093
behcet syndrome,0.025 +/- 0.051,0.025 +/- 0.051,0.025 +/- 0.051,0.025 +/- 0.051
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.017
blood coagulation disorders,0.434 +/- 0.179,0.463 +/- 0.17,0.488 +/- 0.151,0.502 +/- 0.151
blood platelet disorders,0.334 +/- 0.129,0.334 +/- 0.129,0.366 +/- 0.139,0.375 +/- 0.131
breast neoplasms,0.147 +/- 0.145,0.177 +/- 0.125,0.185 +/- 0.136,0.213 +/- 0.134
carbohydrate metabolism inborn errors,0.19 +/- 0.05,0.21 +/- 0.069,0.249 +/- 0.08,0.273 +/- 0.074
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.012 +/- 0.024,0.012 +/- 0.024
cardiomyopathies,0.075 +/- 0.052,0.108 +/- 0.069,0.115 +/- 0.065,0.122 +/- 0.065
cardiomyopathy hypertrophic,0.127 +/- 0.111,0.174 +/- 0.115,0.199 +/- 0.124,0.199 +/- 0.124
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.007 +/- 0.013
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.016,0.015 +/- 0.018
charcot-marie-tooth disease,0.041 +/- 0.082,0.055 +/- 0.111,0.055 +/- 0.111,0.075 +/- 0.128
colitis ulcerative,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colorectal neoplasms,0.077 +/- 0.093,0.087 +/- 0.094,0.094 +/- 0.088,0.101 +/- 0.087
coronary artery disease,0.019 +/- 0.038,0.019 +/- 0.038,0.019 +/- 0.038,0.019 +/- 0.038
crohn disease,0.038 +/- 0.048,0.045 +/- 0.045,0.05 +/- 0.04,0.05 +/- 0.04
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.034 +/- 0.068,0.034 +/- 0.068,0.04 +/- 0.066,0.045 +/- 0.066
dwarfism,0.043 +/- 0.053,0.043 +/- 0.053,0.043 +/- 0.053,0.052 +/- 0.049
esophageal diseases,0.0 +/- 0.0,0.014 +/- 0.027,0.014 +/- 0.027,0.023 +/- 0.046
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.03
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.02 +/- 0.039,0.03 +/- 0.04,0.03 +/- 0.04,0.038 +/- 0.037
hypothalamic diseases,0.1 +/- 0.055,0.112 +/- 0.068,0.112 +/- 0.068,0.121 +/- 0.082
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.015 +/- 0.031,0.015 +/- 0.031
