,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.041 +/- 0.055,0.03 +/- 0.028,0.023 +/- 0.008,0.012 +/- 0.004
alzheimer disease,0.013 +/- 0.026,0.007 +/- 0.014,0.004 +/- 0.008,0.002 +/- 0.004
amino acid metabolism inborn errors,0.034 +/- 0.046,0.053 +/- 0.045,0.058 +/- 0.031,0.048 +/- 0.012
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.027 +/- 0.033,0.029 +/- 0.028,0.023 +/- 0.014,0.018 +/- 0.014
anemia hemolytic,0.091 +/- 0.052,0.057 +/- 0.029,0.038 +/- 0.024,0.019 +/- 0.012
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.026 +/- 0.032,0.036 +/- 0.032,0.023 +/- 0.014,0.014 +/- 0.01
arterial occlusive diseases,0.024 +/- 0.029,0.014 +/- 0.017,0.007 +/- 0.009,0.008 +/- 0.007
arteriosclerosis,0.012 +/- 0.024,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005
arthritis rheumatoid,0.012 +/- 0.024,0.02 +/- 0.027,0.015 +/- 0.014,0.008 +/- 0.007
asthma,0.012 +/- 0.024,0.007 +/- 0.014,0.007 +/- 0.009,0.004 +/- 0.005
basal ganglia diseases,0.047 +/- 0.044,0.027 +/- 0.025,0.015 +/- 0.014,0.01 +/- 0.006
behcet syndrome,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
blood coagulation disorders,0.291 +/- 0.045,0.172 +/- 0.022,0.093 +/- 0.012,0.052 +/- 0.008
blood platelet disorders,0.159 +/- 0.054,0.094 +/- 0.044,0.053 +/- 0.022,0.031 +/- 0.011
breast neoplasms,0.048 +/- 0.045,0.034 +/- 0.022,0.026 +/- 0.015,0.019 +/- 0.011
carbohydrate metabolism inborn errors,0.188 +/- 0.073,0.128 +/- 0.041,0.087 +/- 0.024,0.056 +/- 0.01
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
cardiomyopathies,0.127 +/- 0.057,0.094 +/- 0.025,0.062 +/- 0.022,0.036 +/- 0.011
cardiomyopathy hypertrophic,0.068 +/- 0.061,0.059 +/- 0.05,0.031 +/- 0.026,0.02 +/- 0.016
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.005
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.007 +/- 0.009,0.004 +/- 0.005
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
colitis ulcerative,0.011 +/- 0.022,0.007 +/- 0.013,0.004 +/- 0.007,0.002 +/- 0.004
colorectal neoplasms,0.024 +/- 0.03,0.021 +/- 0.017,0.018 +/- 0.012,0.013 +/- 0.005
coronary artery disease,0.013 +/- 0.026,0.007 +/- 0.014,0.004 +/- 0.008,0.006 +/- 0.005
crohn disease,0.041 +/- 0.038,0.025 +/- 0.023,0.014 +/- 0.013,0.011 +/- 0.004
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.01 +/- 0.02,0.006 +/- 0.012,0.007 +/- 0.009,0.009 +/- 0.008
dwarfism,0.013 +/- 0.027,0.015 +/- 0.018,0.008 +/- 0.009,0.004 +/- 0.005
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.012 +/- 0.025,0.014 +/- 0.017,0.007 +/- 0.009,0.004 +/- 0.005
hypothalamic diseases,0.067 +/- 0.042,0.036 +/- 0.023,0.019 +/- 0.012,0.01 +/- 0.006
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
leukemia myeloid,0.048 +/- 0.024,0.041 +/- 0.033,0.022 +/- 0.018,0.012 +/- 0.009
lipid metabolism disorders,0.114 +/- 0.072,0.087 +/- 0.05,0.047 +/- 0.027,0.029 +/- 0.016
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
lung diseases obstructive,0.012 +/- 0.024,0.007 +/- 0.014,0.007 +/- 0.015,0.006 +/- 0.008
lupus erythematosus,0.02 +/- 0.024,0.012 +/- 0.015,0.01 +/- 0.009,0.011 +/- 0.007
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
lysosomal storage diseases,0.224 +/- 0.069,0.149 +/- 0.055,0.081 +/- 0.03,0.042 +/- 0.016
macular degeneration,0.036 +/- 0.047,0.027 +/- 0.025,0.026 +/- 0.025,0.015 +/- 0.011
metabolic syndrome x,0.014 +/- 0.029,0.008 +/- 0.015,0.012 +/- 0.016,0.006 +/- 0.008
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.01 +/- 0.021,0.012 +/- 0.015,0.018 +/- 0.019,0.015 +/- 0.013
muscular dystrophies,0.088 +/- 0.064,0.049 +/- 0.036,0.026 +/- 0.019,0.017 +/- 0.013
mycobacterium infections,0.067 +/- 0.073,0.044 +/- 0.036,0.023 +/- 0.019,0.012 +/- 0.01
myeloproliferative disorders,0.028 +/- 0.034,0.03 +/- 0.028,0.015 +/- 0.014,0.01 +/- 0.006
nutritional and metabolic diseases,0.025 +/- 0.01,0.031 +/- 0.006,0.071 +/- 0.016,0.083 +/- 0.016
peroxisomal disorders,0.221 +/- 0.028,0.126 +/- 0.018,0.065 +/- 0.009,0.033 +/- 0.005
psoriasis,0.0 +/- 0.0,0.007 +/- 0.013,0.011 +/- 0.014,0.006 +/- 0.008
purine-pyrimidine metabolism inborn errors,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
renal tubular transport inborn errors,0.051 +/- 0.048,0.035 +/- 0.023,0.019 +/- 0.012,0.01 +/- 0.006
sarcoma,0.013 +/- 0.027,0.007 +/- 0.015,0.011 +/- 0.015,0.006 +/- 0.008
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.015 +/- 0.03,0.015 +/- 0.019,0.01 +/- 0.009
tauopathies,0.012 +/- 0.025,0.014 +/- 0.017,0.007 +/- 0.009,0.004 +/- 0.005
uveal diseases,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
