,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.15 +/- 0.19999999999999998,0.2 +/- 0.18708286933869708,0.36666666666666664 +/- 0.1130388330520878,0.36666666666666664 +/- 0.1130388330520878
alzheimer disease,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667
amino acid metabolism inborn errors,0.06000000000000001 +/- 0.08,0.15818181818181817 +/- 0.13649690457544333,0.3145454545454546 +/- 0.17699045125291574,0.48545454545454547 +/- 0.13865946156318268
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.09 +/- 0.11135528725660043,0.19 +/- 0.1854723699099141,0.29 +/- 0.19078784028338913,0.44000000000000006 +/- 0.37336309405188944
anemia hemolytic,0.24666666666666667 +/- 0.14544949486180953,0.27999999999999997 +/- 0.14236104336041747,0.3466666666666667 +/- 0.2124983660067897,0.3466666666666667 +/- 0.2124983660067897
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.06666666666666667 +/- 0.0816496580927726,0.16666666666666666 +/- 0.14907119849998596,0.2 +/- 0.1247219128924647,0.2333333333333333 +/- 0.16996731711975951
arterial occlusive diseases,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083,0.09166666666666666 +/- 0.0840708108356753
arteriosclerosis,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.05 +/- 0.06123724356957946
arthritis rheumatoid,0.02222222222222222 +/- 0.04444444444444444,0.06944444444444445 +/- 0.09043789220055391,0.09444444444444444 +/- 0.08489281549964514,0.09444444444444444 +/- 0.08489281549964514
asthma,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.05 +/- 0.06123724356957946,0.05 +/- 0.06123724356957946
basal ganglia diseases,0.08888888888888888 +/- 0.08314794192830981,0.08888888888888888 +/- 0.08314794192830981,0.08888888888888888 +/- 0.08314794192830981,0.11111111111111112 +/- 0.07027283689263066
behcet syndrome,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.02857142857142857 +/- 0.05714285714285714
blood coagulation disorders,0.6 +/- 0.09354143466934853,0.625 +/- 0.07905694150420949,0.625 +/- 0.07905694150420949,0.675 +/- 0.1
blood platelet disorders,0.4666666666666667 +/- 0.16865480854231357,0.5066666666666666 +/- 0.24801433650317697,0.5399999999999999 +/- 0.233238075793812,0.6133333333333333 +/- 0.22070593809662464
breast neoplasms,0.1 +/- 0.09354143466934854,0.125 +/- 0.07905694150420949,0.175 +/- 0.1,0.25 +/- 0.13693063937629152
carbohydrate metabolism inborn errors,0.24666666666666667 +/- 0.09629959039949813,0.27249999999999996 +/- 0.08690671882989127,0.32416666666666666 +/- 0.09137833441248533,0.38916666666666666 +/- 0.06879922480183431
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.10000000000000002
cardiomyopathies,0.2266666666666667 +/- 0.10413666234542206,0.2866666666666667 +/- 0.077746025264604,0.3488888888888889 +/- 0.12562928022313394,0.39111111111111113 +/- 0.12946232589892898
cardiomyopathy hypertrophic,0.22999999999999998 +/- 0.20396078054371142,0.38 +/- 0.3355592347112504,0.38 +/- 0.3355592347112504,0.45999999999999996 +/- 0.37603191353926335
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0869047619047619 +/- 0.07217860186297198
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.04444444444444444 +/- 0.05443310539518174,0.04444444444444444 +/- 0.05443310539518174
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.04 +/- 0.08
colitis ulcerative,0.01818181818181818 +/- 0.03636363636363636,0.01818181818181818 +/- 0.03636363636363636,0.01818181818181818 +/- 0.03636363636363636,0.01818181818181818 +/- 0.03636363636363636
colorectal neoplasms,0.05 +/- 0.06123724356957946,0.075 +/- 0.06123724356957946,0.12222222222222223 +/- 0.07925190343159504,0.16666666666666666 +/- 0.057601225981465894
coronary artery disease,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.1 +/- 0.0816496580927726
crohn disease,0.05619047619047619 +/- 0.0532311947142176,0.05619047619047619 +/- 0.0532311947142176,0.05619047619047619 +/- 0.0532311947142176,0.08476190476190476 +/- 0.029106108171306905
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.013333333333333332 +/- 0.026666666666666665,0.013333333333333332 +/- 0.026666666666666665,0.026666666666666665 +/- 0.032659863237109045,0.06857142857142857 +/- 0.06183879268856352
dwarfism,0.04 +/- 0.08,0.08 +/- 0.09797958971132713,0.08 +/- 0.09797958971132713,0.08 +/- 0.09797958971132713
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.02857142857142857 +/- 0.05714285714285714,0.05714285714285714 +/- 0.06998542122237653,0.05714285714285714 +/- 0.06998542122237653,0.05714285714285714 +/- 0.06998542122237653
hypothalamic diseases,0.21000000000000002 +/- 0.128062484748657,0.21000000000000002 +/- 0.128062484748657,0.21000000000000002 +/- 0.128062484748657,0.21000000000000002 +/- 0.128062484748657
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
