,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.15 +/- 0.19999999999999998,0.2 +/- 0.18708286933869708,0.3 +/- 0.18708286933869708,0.36666666666666664 +/- 0.1130388330520878
alzheimer disease,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.03333333333333333 +/- 0.06666666666666667,0.11333333333333333 +/- 0.15719768163402129
amino acid metabolism inborn errors,0.04 +/- 0.048989794855663564,0.19818181818181818 +/- 0.2106581579339671,0.3145454545454546 +/- 0.17699045125291574,0.46545454545454545 +/- 0.11065544767056681
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.09 +/- 0.11135528725660043,0.19 +/- 0.1854723699099141,0.29 +/- 0.19078784028338913,0.29 +/- 0.19078784028338913
anemia hemolytic,0.27999999999999997 +/- 0.14236104336041747,0.3133333333333333 +/- 0.16812693617224658,0.38 +/- 0.1240071682515885,0.4133333333333333 +/- 0.16679994670929071
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.13333333333333333 +/- 0.1247219128924647,0.16666666666666666 +/- 0.14907119849998596,0.2 +/- 0.1247219128924647,0.2 +/- 0.1247219128924647
arterial occlusive diseases,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083,0.04722222222222222 +/- 0.05800170282728083,0.09166666666666666 +/- 0.0840708108356753
arteriosclerosis,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.05 +/- 0.06123724356957946
arthritis rheumatoid,0.02222222222222222 +/- 0.04444444444444444,0.04722222222222222 +/- 0.05800170282728083,0.09166666666666666 +/- 0.13017082793177756,0.09166666666666666 +/- 0.13017082793177756
asthma,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001,0.025 +/- 0.05000000000000001
basal ganglia diseases,0.08888888888888888 +/- 0.08314794192830981,0.08888888888888888 +/- 0.08314794192830981,0.08888888888888888 +/- 0.08314794192830981,0.08888888888888888 +/- 0.08314794192830981
behcet syndrome,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333,0.06666666666666667 +/- 0.13333333333333333
bile duct diseases,0.0 +/- 0.0,0.02857142857142857 +/- 0.05714285714285714,0.02857142857142857 +/- 0.05714285714285714,0.02857142857142857 +/- 0.05714285714285714
blood coagulation disorders,0.6 +/- 0.09354143466934853,0.625 +/- 0.07905694150420949,0.625 +/- 0.07905694150420949,0.675 +/- 0.1
blood platelet disorders,0.4666666666666667 +/- 0.16865480854231357,0.5399999999999999 +/- 0.233238075793812,0.5399999999999999 +/- 0.233238075793812,0.6133333333333333 +/- 0.22070593809662464
breast neoplasms,0.1 +/- 0.09354143466934854,0.125 +/- 0.07905694150420949,0.15 +/- 0.09354143466934854,0.25 +/- 0.13693063937629152
carbohydrate metabolism inborn errors,0.24666666666666667 +/- 0.09629959039949813,0.25916666666666666 +/- 0.0917575307233387,0.31 +/- 0.09027735042633894,0.35 +/- 0.07582875444051551
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.22666666666666666 +/- 0.15114378731672845,0.32666666666666666 +/- 0.11623730516108463,0.3711111111111111 +/- 0.1483406157180323,0.39111111111111113 +/- 0.12946232589892898
