,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.016 +/- 0.02,0.016 +/- 0.015,0.01 +/- 0.006,0.006 +/- 0.002
alzheimer disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
amino acid metabolism inborn errors,0.032 +/- 0.03,0.052 +/- 0.048,0.036 +/- 0.022,0.024 +/- 0.01
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.024 +/- 0.02,0.024 +/- 0.015,0.018 +/- 0.007,0.013 +/- 0.005
anemia hemolytic,0.048 +/- 0.047,0.032 +/- 0.027,0.016 +/- 0.014,0.009 +/- 0.008
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
arrhythmias cardiac,0.024 +/- 0.02,0.016 +/- 0.015,0.01 +/- 0.009,0.007 +/- 0.005
arterial occlusive diseases,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.002 +/- 0.002
arteriosclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
arthritis rheumatoid,0.008 +/- 0.016,0.008 +/- 0.016,0.008 +/- 0.007,0.005 +/- 0.004
asthma,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
basal ganglia diseases,0.032 +/- 0.016,0.02 +/- 0.013,0.01 +/- 0.006,0.005 +/- 0.003
behcet syndrome,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
blood coagulation disorders,0.192 +/- 0.039,0.108 +/- 0.016,0.06 +/- 0.006,0.032 +/- 0.005
blood platelet disorders,0.104 +/- 0.032,0.052 +/- 0.016,0.032 +/- 0.01,0.017 +/- 0.005
breast neoplasms,0.04 +/- 0.036,0.032 +/- 0.016,0.018 +/- 0.01,0.013 +/- 0.007
carbohydrate metabolism inborn errors,0.16 +/- 0.044,0.092 +/- 0.03,0.06 +/- 0.018,0.035 +/- 0.008
