,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.032 +/- 0.016,0.016 +/- 0.008,0.01 +/- 0.0,0.005 +/- 0.0
alzheimer disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
amino acid metabolism inborn errors,0.016 +/- 0.019595917942265426,0.039999999999999994 +/- 0.04195235392680606,0.034 +/- 0.018547236990991405,0.024 +/- 0.004898979485566355
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.016 +/- 0.019595917942265423,0.016 +/- 0.014966629547095765,0.012 +/- 0.0074833147735478825,0.006 +/- 0.0037416573867739412
anemia hemolytic,0.07200000000000001 +/- 0.039191835884530846,0.04 +/- 0.021908902300206645,0.02 +/- 0.010954451150103323,0.01 +/- 0.005477225575051661
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.032 +/- 0.02993325909419153,0.024 +/- 0.014966629547095765,0.012 +/- 0.0074833147735478825,0.006 +/- 0.0037416573867739412
arterial occlusive diseases,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.004
arteriosclerosis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002449489742783178
arthritis rheumatoid,0.008 +/- 0.016,0.012 +/- 0.016,0.006 +/- 0.008,0.003 +/- 0.004
asthma,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
basal ganglia diseases,0.024 +/- 0.019595917942265423,0.012 +/- 0.009797958971132711,0.006 +/- 0.004898979485566356,0.003 +/- 0.002449489742783178
behcet syndrome,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
bile duct diseases,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
blood coagulation disorders,0.192 +/- 0.029933259094191526,0.1 +/- 0.012649110640673514,0.05 +/- 0.006324555320336757,0.026999999999999996 +/- 0.003999999999999999
blood platelet disorders,0.10400000000000001 +/- 0.032,0.05600000000000001 +/- 0.0233238075793812,0.028000000000000004 +/- 0.0116619037896906,0.016 +/- 0.0058309518948453
breast neoplasms,0.032 +/- 0.02993325909419153,0.02 +/- 0.012649110640673518,0.012 +/- 0.0074833147735478825,0.009 +/- 0.0058309518948453
carbohydrate metabolism inborn errors,0.15199999999999997 +/- 0.058787753826796275,0.07999999999999999 +/- 0.0282842712474619,0.048 +/- 0.014696938456699067,0.027000000000000003 +/- 0.006000000000000001
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.088 +/- 0.0466476151587624,0.064 +/- 0.023323807579381205,0.034 +/- 0.011999999999999999,0.017 +/- 0.005999999999999999
cardiomyopathy hypertrophic,0.04 +/- 0.03577708763999664,0.039999999999999994 +/- 0.03346640106136302,0.019999999999999997 +/- 0.01673320053068151,0.009999999999999998 +/- 0.008366600265340755
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.0024494897427831783
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colitis ulcerative,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
colorectal neoplasms,0.016 +/- 0.019595917942265426,0.012 +/- 0.009797958971132711,0.01 +/- 0.006324555320336759,0.007000000000000001 +/- 0.002449489742783178
coronary artery disease,0.016 +/- 0.019595917942265426,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.004 +/- 0.0037416573867739412
crohn disease,0.016 +/- 0.019595917942265423,0.008 +/- 0.009797958971132711,0.008 +/- 0.0074833147735478825,0.006 +/- 0.002
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.004898979485566356,0.004 +/- 0.0037416573867739412
dwarfism,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
