,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.024 +/- 0.032,0.016 +/- 0.014966629547095765,0.01 +/- 0.006324555320336759,0.006 +/- 0.002
alzheimer disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.004
amino acid metabolism inborn errors,0.016 +/- 0.019595917942265426,0.039999999999999994 +/- 0.04195235392680606,0.032 +/- 0.017204650534085254,0.024 +/- 0.004898979485566355
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.016 +/- 0.019595917942265423,0.016 +/- 0.014966629547095765,0.012 +/- 0.0074833147735478825,0.006 +/- 0.0037416573867739412
anemia hemolytic,0.064 +/- 0.032,0.036000000000000004 +/- 0.019595917942265423,0.022 +/- 0.0074833147735478825,0.012 +/- 0.005099019513592784
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.032 +/- 0.02993325909419153,0.02 +/- 0.01788854381999832,0.012 +/- 0.0074833147735478825,0.006 +/- 0.0037416573867739412
arterial occlusive diseases,0.016 +/- 0.019595917942265426,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.004 +/- 0.0037416573867739412
arteriosclerosis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002449489742783178
arthritis rheumatoid,0.008 +/- 0.016,0.008 +/- 0.009797958971132711,0.008 +/- 0.0116619037896906,0.004 +/- 0.0058309518948453
asthma,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
basal ganglia diseases,0.032 +/- 0.02993325909419153,0.016 +/- 0.014966629547095765,0.008 +/- 0.0074833147735478825,0.004 +/- 0.0037416573867739412
behcet syndrome,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
bile duct diseases,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
blood coagulation disorders,0.192 +/- 0.029933259094191526,0.1 +/- 0.012649110640673514,0.05 +/- 0.006324555320336757,0.026999999999999996 +/- 0.003999999999999999
blood platelet disorders,0.096 +/- 0.032,0.05600000000000001 +/- 0.0233238075793812,0.028000000000000004 +/- 0.0116619037896906,0.016 +/- 0.0058309518948453
