,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.1 +/- 0.122,0.25 +/- 0.224,0.3 +/- 0.187,0.367 +/- 0.113
alzheimer disease,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067
amino acid metabolism inborn errors,0.078 +/- 0.074,0.258 +/- 0.243,0.355 +/- 0.22,0.469 +/- 0.204
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.14 +/- 0.116,0.29 +/- 0.191,0.44 +/- 0.198,0.63 +/- 0.269
anemia hemolytic,0.207 +/- 0.194,0.28 +/- 0.232,0.28 +/- 0.232,0.313 +/- 0.27
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.133 +/- 0.267
arrhythmias cardiac,0.1 +/- 0.082,0.133 +/- 0.125,0.167 +/- 0.149,0.233 +/- 0.17
arterial occlusive diseases,0.047 +/- 0.058,0.047 +/- 0.058,0.047 +/- 0.058,0.047 +/- 0.058
arteriosclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05,0.054 +/- 0.066
arthritis rheumatoid,0.022 +/- 0.044,0.044 +/- 0.089,0.094 +/- 0.085,0.119 +/- 0.106
asthma,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.05 +/- 0.061
basal ganglia diseases,0.089 +/- 0.044,0.111 +/- 0.07,0.111 +/- 0.07,0.111 +/- 0.07
behcet syndrome,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.033 +/- 0.067
blood coagulation disorders,0.6 +/- 0.122,0.675 +/- 0.1,0.75 +/- 0.079,0.8 +/- 0.127
blood platelet disorders,0.5 +/- 0.155,0.5 +/- 0.155,0.62 +/- 0.204,0.66 +/- 0.215
breast neoplasms,0.125 +/- 0.112,0.2 +/- 0.1,0.225 +/- 0.122,0.325 +/- 0.17
carbohydrate metabolism inborn errors,0.259 +/- 0.07,0.299 +/- 0.1,0.39 +/- 0.119,0.455 +/- 0.112
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.1,0.05 +/- 0.1
cardiomyopathies,0.102 +/- 0.063,0.182 +/- 0.115,0.202 +/- 0.108,0.222 +/- 0.114
cardiomyopathy hypertrophic,0.23 +/- 0.204,0.38 +/- 0.25,0.48 +/- 0.319,0.48 +/- 0.319
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.022 +/- 0.044,0.044 +/- 0.054
charcot-marie-tooth disease,0.08 +/- 0.16,0.12 +/- 0.24,0.12 +/- 0.24,0.193 +/- 0.31
colitis ulcerative,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colorectal neoplasms,0.072 +/- 0.059,0.097 +/- 0.093,0.119 +/- 0.079,0.142 +/- 0.089
coronary artery disease,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067
crohn disease,0.043 +/- 0.057,0.056 +/- 0.053,0.07 +/- 0.045,0.07 +/- 0.045
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.013 +/- 0.027,0.013 +/- 0.027,0.027 +/- 0.033,0.04 +/- 0.053
dwarfism,0.08 +/- 0.098,0.08 +/- 0.098,0.08 +/- 0.098,0.113 +/- 0.093
esophageal diseases,0.0 +/- 0.0,0.04 +/- 0.08,0.04 +/- 0.08,0.08 +/- 0.16
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.133 +/- 0.163
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.029 +/- 0.057,0.057 +/- 0.07,0.057 +/- 0.07,0.086 +/- 0.07
hypothalamic diseases,0.17 +/- 0.087,0.21 +/- 0.128,0.21 +/- 0.128,0.25 +/- 0.195
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.067 +/- 0.133,0.067 +/- 0.133
leukemia myeloid,0.094 +/- 0.048,0.139 +/- 0.108,0.139 +/- 0.108,0.186 +/- 0.152
lipid metabolism disorders,0.18 +/- 0.117,0.2 +/- 0.126,0.2 +/- 0.126,0.24 +/- 0.15
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.04 +/- 0.08,0.04 +/- 0.08,0.09 +/- 0.111
lung diseases obstructive,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025 +/- 0.05
lupus erythematosus,0.013 +/- 0.027,0.013 +/- 0.027,0.013 +/- 0.027,0.027 +/- 0.033
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.4 +/- 0.113,0.444 +/- 0.122,0.467 +/- 0.13,0.511 +/- 0.181
macular degeneration,0.069 +/- 0.09,0.069 +/- 0.09,0.069 +/- 0.09,0.139 +/- 0.134
metabolic syndrome x,0.0 +/- 0.0,0.067 +/- 0.133,0.067 +/- 0.133,0.133 +/- 0.163
motor neuron disease,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067
multiple sclerosis,0.029 +/- 0.035,0.029 +/- 0.035,0.071 +/- 0.078,0.158 +/- 0.104
muscular dystrophies,0.181 +/- 0.118,0.181 +/- 0.118,0.238 +/- 0.197,0.267 +/- 0.192
mycobacterium infections,0.21 +/- 0.22,0.26 +/- 0.193,0.26 +/- 0.193,0.26 +/- 0.193
myeloproliferative disorders,0.217 +/- 0.194,0.217 +/- 0.194,0.217 +/- 0.194,0.267 +/- 0.162
nutritional and metabolic diseases,0.022 +/- 0.004,0.039 +/- 0.013,0.072 +/- 0.014,0.123 +/- 0.018
peroxisomal disorders,0.75 +/- 0.0,0.8 +/- 0.1,0.85 +/- 0.122,0.85 +/- 0.122
psoriasis,0.0 +/- 0.0,0.0 +/- 0.0,0.018 +/- 0.036,0.036 +/- 0.073
purine-pyrimidine metabolism inborn errors,0.0 +/- 0.0,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
renal tubular transport inborn errors,0.124 +/- 0.123,0.124 +/- 0.123,0.124 +/- 0.123,0.152 +/- 0.106
sarcoma,0.04 +/- 0.08,0.08 +/- 0.098,0.12 +/- 0.16,0.12 +/- 0.16
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.0 +/- 0.0,0.0 +/- 0.0,0.1 +/- 0.122,0.1 +/- 0.122
tauopathies,0.029 +/- 0.057,0.057 +/- 0.07,0.057 +/- 0.07,0.114 +/- 0.107
uveal diseases,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
