,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.0958515946120265 +/- 0.1512337447082372,0.1296772101515142 +/- 0.175858061415955,0.1419243516538099 +/- 0.1683736243602001,0.1553981747538464 +/- 0.15890665750802407
alzheimer disease,0.0605204826997627 +/- 0.1210409653995254,0.0605204826997627 +/- 0.1210409653995254,0.0605204826997627 +/- 0.1210409653995254,0.0605204826997627 +/- 0.1210409653995254
amino acid metabolism inborn errors,0.07194781955573082 +/- 0.07675401543567999,0.1482520906235792 +/- 0.11274814416861563,0.1836129896763472 +/- 0.11172141396653484,0.21988008539791415 +/- 0.10366992708609975
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.09106626427654456 +/- 0.08401239071008007,0.13541034135806063 +/- 0.0855273838938391,0.17351123727415543 +/- 0.07225216351788744,0.21512294421279643 +/- 0.0866572639937262
anemia hemolytic,0.10934831400787874 +/- 0.11705145627047894,0.13406773079921291 +/- 0.12160825060377307,0.13406773079921291 +/- 0.12160825060377307,0.14201556911987248 +/- 0.12755922179130036
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.025883620829483013 +/- 0.051767241658966026
arrhythmias cardiac,0.09873937022910909 +/- 0.11136001903974012,0.10957569772315187 +/- 0.11106430630142915,0.11958836094541478 +/- 0.11351749362175473,0.13726329673265736 +/- 0.10646319391454297
arterial occlusive diseases,0.021156438641239343 +/- 0.025951220734301724,0.021156438641239343 +/- 0.025951220734301724,0.021156438641239343 +/- 0.025951220734301724,0.021156438641239343 +/- 0.025951220734301724
arteriosclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.007979453856244817 +/- 0.015958907712489635,0.015325341063927345 +/- 0.018796346316078894
arthritis rheumatoid,0.02024572164246004 +/- 0.04049144328492008,0.02853302505306054 +/- 0.05706605010612108,0.045185459272501116 +/- 0.05218623597125628,0.05275123158462005 +/- 0.054081595956190005
asthma,0.05058854055353142 +/- 0.10117708110706285,0.05058854055353142 +/- 0.10117708110706285,0.05058854055353142 +/- 0.10117708110706285,0.05803414611383798 +/- 0.09851510174748597
basal ganglia diseases,0.12047915425517283 +/- 0.07957486049515812,0.12894226667234104 +/- 0.09250855135009055,0.12894226667234104 +/- 0.09250855135009055,0.12894226667234104 +/- 0.09250855135009055
behcet syndrome,0.025363403366478708 +/- 0.05072680673295742,0.025363403366478708 +/- 0.05072680673295742,0.025363403366478708 +/- 0.05072680673295742,0.025363403366478708 +/- 0.05072680673295742
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.00848899988342683 +/- 0.01697799976685366
blood coagulation disorders,0.4339762811444639 +/- 0.17866053240940288,0.46320820553733866 +/- 0.1696334092680463,0.4879940833970123 +/- 0.1506174559754076,0.5022257882866696 +/- 0.15054118308694966
blood platelet disorders,0.333774782551201 +/- 0.12867840069793812,0.333774782551201 +/- 0.12867840069793812,0.36634886222566 +/- 0.13857488329713338,0.3752397876906195 +/- 0.1312166607092256
breast neoplasms,0.14707585384251304 +/- 0.14473812432985259,0.1768100966680441 +/- 0.12525460124378188,0.18490694805511293 +/- 0.13552804981412103,0.21329396061700953 +/- 0.13399932014597657
carbohydrate metabolism inborn errors,0.18966444121829532 +/- 0.04983025259224527,0.21049237594650644 +/- 0.0686617308665375,0.2487141126225489 +/- 0.07950681668855714,0.2727018225454645 +/- 0.07388001065002164
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.011883976551846217 +/- 0.023767953103692434,0.011883976551846217 +/- 0.023767953103692434
cardiomyopathies,0.07468528867469451 +/- 0.05173398176917688,0.10805422965539666 +/- 0.06921751463589801,0.11539062186533267 +/- 0.06477143717956046,0.12179761116739189 +/- 0.06451979880064415
cardiomyopathy hypertrophic,0.12689350055648857 +/- 0.11108003803792266,0.17361370071965307 +/- 0.11511581576213517,0.19904770519366372 +/- 0.12408664620436063,0.19904770519366372 +/- 0.12408664620436063
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.006682893726249757 +/- 0.013365787452499514
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.008094754068559886 +/- 0.016189508137119772,0.014597768170255715 +/- 0.018054814970917793
