,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.024 +/- 0.032,0.016 +/- 0.014966629547095765,0.012 +/- 0.004,0.006 +/- 0.002
alzheimer disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
amino acid metabolism inborn errors,0.024 +/- 0.032,0.032 +/- 0.027129319932501072,0.032 +/- 0.017204650534085254,0.025 +/- 0.00632455532033676
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.016 +/- 0.019595917942265423,0.016 +/- 0.014966629547095765,0.012 +/- 0.0074833147735478825,0.009 +/- 0.007348469228349534
anemia hemolytic,0.05600000000000001 +/- 0.032,0.032 +/- 0.016,0.02 +/- 0.012649110640673518,0.01 +/- 0.006324555320336759
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.016 +/- 0.019595917942265423,0.02 +/- 0.01788854381999832,0.012 +/- 0.0074833147735478825,0.007000000000000001 +/- 0.005099019513592784
arterial occlusive diseases,0.016 +/- 0.019595917942265426,0.008 +/- 0.009797958971132713,0.004 +/- 0.004898979485566357,0.004 +/- 0.0037416573867739412
arteriosclerosis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002449489742783178
arthritis rheumatoid,0.008 +/- 0.016,0.012 +/- 0.016,0.008 +/- 0.0074833147735478825,0.004 +/- 0.0037416573867739412
asthma,0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.004898979485566356,0.002 +/- 0.002449489742783178
basal ganglia diseases,0.032 +/- 0.02993325909419153,0.016 +/- 0.014966629547095765,0.008 +/- 0.0074833147735478825,0.005 +/- 0.0031622776601683794
behcet syndrome,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
bile duct diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
blood coagulation disorders,0.192 +/- 0.029933259094191526,0.1 +/- 0.012649110640673514,0.05 +/- 0.006324555320336757,0.026999999999999996 +/- 0.003999999999999999
blood platelet disorders,0.096 +/- 0.032,0.052000000000000005 +/- 0.024,0.028000000000000004 +/- 0.0116619037896906,0.016 +/- 0.0058309518948453
breast neoplasms,0.032 +/- 0.02993325909419153,0.02 +/- 0.012649110640673518,0.014000000000000002 +/- 0.008,0.01 +/- 0.005477225575051661
carbohydrate metabolism inborn errors,0.15199999999999997 +/- 0.058787753826796275,0.08399999999999999 +/- 0.0265329983228432,0.05 +/- 0.014142135623730952,0.03 +/- 0.005477225575051662
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
cardiomyopathies,0.088 +/- 0.039191835884530846,0.055999999999999994 +/- 0.014966629547095765,0.034 +/- 0.011999999999999999,0.019 +/- 0.005830951894845301
cardiomyopathy hypertrophic,0.04 +/- 0.03577708763999664,0.031999999999999994 +/- 0.027129319932501075,0.015999999999999997 +/- 0.013564659966250538,0.009999999999999998 +/- 0.008366600265340755
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.0024494897427831783
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.004898979485566357,0.002 +/- 0.0024494897427831783
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
colitis ulcerative,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
colorectal neoplasms,0.016 +/- 0.019595917942265426,0.012 +/- 0.009797958971132711,0.01 +/- 0.006324555320336759,0.007000000000000001 +/- 0.002449489742783178
coronary artery disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.002449489742783178
crohn disease,0.032 +/- 0.02993325909419153,0.016 +/- 0.014966629547095765,0.008 +/- 0.0074833147735478825,0.006 +/- 0.002
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
