,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.26 +/- 0.164,0.26 +/- 0.164,0.275 +/- 0.142,0.275 +/- 0.142
alzheimer disease,0.026 +/- 0.052,0.026 +/- 0.052,0.026 +/- 0.052,0.026 +/- 0.052
amino acid metabolism inborn errors,0.056 +/- 0.085,0.124 +/- 0.114,0.174 +/- 0.124,0.214 +/- 0.104
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.063 +/- 0.085,0.093 +/- 0.089,0.118 +/- 0.078,0.118 +/- 0.078
anemia hemolytic,0.211 +/- 0.153,0.222 +/- 0.165,0.222 +/- 0.165,0.222 +/- 0.165
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.156 +/- 0.136,0.178 +/- 0.138,0.178 +/- 0.138,0.178 +/- 0.138
arterial occlusive diseases,0.012 +/- 0.023,0.012 +/- 0.023,0.012 +/- 0.023,0.024 +/- 0.03
arteriosclerosis,0.011 +/- 0.022,0.011 +/- 0.022,0.011 +/- 0.022,0.018 +/- 0.023
arthritis rheumatoid,0.047 +/- 0.094,0.066 +/- 0.108,0.066 +/- 0.108,0.066 +/- 0.108
asthma,0.051 +/- 0.101,0.051 +/- 0.101,0.051 +/- 0.101,0.051 +/- 0.101
basal ganglia diseases,0.11 +/- 0.106,0.11 +/- 0.106,0.11 +/- 0.106,0.11 +/- 0.106
behcet syndrome,0.027 +/- 0.054,0.027 +/- 0.054,0.027 +/- 0.054,0.027 +/- 0.054
bile duct diseases,0.013 +/- 0.027,0.013 +/- 0.027,0.013 +/- 0.027,0.013 +/- 0.027
blood coagulation disorders,0.389 +/- 0.153,0.399 +/- 0.15,0.399 +/- 0.15,0.414 +/- 0.147
blood platelet disorders,0.309 +/- 0.109,0.322 +/- 0.12,0.322 +/- 0.12,0.341 +/- 0.101
breast neoplasms,0.14 +/- 0.13,0.15 +/- 0.121,0.158 +/- 0.12,0.18 +/- 0.121
carbohydrate metabolism inborn errors,0.189 +/- 0.083,0.196 +/- 0.079,0.217 +/- 0.075,0.231 +/- 0.073
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.134 +/- 0.076,0.178 +/- 0.074,0.185 +/- 0.075,0.185 +/- 0.075
cardiomyopathy hypertrophic,0.142 +/- 0.128,0.215 +/- 0.18,0.215 +/- 0.18,0.215 +/- 0.18
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.023 +/- 0.018
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.008 +/- 0.016,0.008 +/- 0.016
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colitis ulcerative,0.011 +/- 0.021,0.011 +/- 0.021,0.011 +/- 0.021,0.011 +/- 0.021
colorectal neoplasms,0.072 +/- 0.1,0.082 +/- 0.094,0.097 +/- 0.092,0.11 +/- 0.082
coronary artery disease,0.03 +/- 0.037,0.03 +/- 0.037,0.03 +/- 0.037,0.046 +/- 0.046
crohn disease,0.015 +/- 0.019,0.015 +/- 0.019,0.027 +/- 0.024,0.037 +/- 0.013
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.034 +/- 0.068,0.034 +/- 0.068,0.04 +/- 0.066,0.05 +/- 0.063
dwarfism,0.0 +/- 0.0,0.014 +/- 0.027,0.014 +/- 0.027,0.014 +/- 0.027
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.0 +/- 0.0,0.0 +/- 0.0,0.019 +/- 0.023,0.026 +/- 0.021
hypothalamic diseases,0.127 +/- 0.078,0.127 +/- 0.078,0.127 +/- 0.078,0.127 +/- 0.078
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
leukemia myeloid,0.067 +/- 0.058,0.087 +/- 0.076,0.087 +/- 0.076,0.093 +/- 0.085
lipid metabolism disorders,0.154 +/- 0.072,0.188 +/- 0.109,0.202 +/- 0.113,0.209 +/- 0.109
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.01 +/- 0.019
lung diseases obstructive,0.017 +/- 0.034,0.017 +/- 0.034,0.017 +/- 0.034,0.017 +/- 0.034
