,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.041 +/- 0.055,0.03 +/- 0.028,0.019 +/- 0.012,0.012 +/- 0.004
alzheimer disease,0.013 +/- 0.026,0.007 +/- 0.014,0.004 +/- 0.008,0.006 +/- 0.008
amino acid metabolism inborn errors,0.023 +/- 0.028,0.067 +/- 0.07,0.058 +/- 0.031,0.046 +/- 0.009
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.027 +/- 0.033,0.029 +/- 0.028,0.023 +/- 0.014,0.012 +/- 0.007
anemia hemolytic,0.104 +/- 0.052,0.065 +/- 0.035,0.042 +/- 0.014,0.023 +/- 0.01
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.052 +/- 0.048,0.036 +/- 0.032,0.023 +/- 0.014,0.012 +/- 0.007
arterial occlusive diseases,0.024 +/- 0.029,0.014 +/- 0.017,0.007 +/- 0.009,0.008 +/- 0.007
arteriosclerosis,0.012 +/- 0.024,0.007 +/- 0.014,0.004 +/- 0.007,0.004 +/- 0.005
arthritis rheumatoid,0.012 +/- 0.024,0.014 +/- 0.017,0.015 +/- 0.021,0.008 +/- 0.011
asthma,0.012 +/- 0.024,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004
basal ganglia diseases,0.047 +/- 0.044,0.027 +/- 0.025,0.015 +/- 0.014,0.008 +/- 0.007
behcet syndrome,0.014 +/- 0.029,0.008 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
bile duct diseases,0.0 +/- 0.0,0.007 +/- 0.014,0.004 +/- 0.007,0.002 +/- 0.004
blood coagulation disorders,0.291 +/- 0.045,0.172 +/- 0.022,0.093 +/- 0.012,0.052 +/- 0.008
blood platelet disorders,0.159 +/- 0.054,0.101 +/- 0.042,0.053 +/- 0.022,0.031 +/- 0.011
breast neoplasms,0.048 +/- 0.045,0.034 +/- 0.022,0.022 +/- 0.014,0.019 +/- 0.011
carbohydrate metabolism inborn errors,0.188 +/- 0.073,0.122 +/- 0.043,0.083 +/- 0.025,0.05 +/- 0.011
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.127 +/- 0.085,0.107 +/- 0.039,0.066 +/- 0.025,0.036 +/- 0.011
cardiomyopathy hypertrophic,0.081 +/- 0.078,0.059 +/- 0.049,0.038 +/- 0.032,0.02 +/- 0.016
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.006 +/- 0.005
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.007,0.004 +/- 0.005
charcot-marie-tooth disease,0.013 +/- 0.027,0.007 +/- 0.015,0.004 +/- 0.008,0.002 +/- 0.004
colitis ulcerative,0.011 +/- 0.022,0.007 +/- 0.013,0.004 +/- 0.007,0.002 +/- 0.004
colorectal neoplasms,0.024 +/- 0.03,0.021 +/- 0.017,0.015 +/- 0.014,0.013 +/- 0.005
coronary artery disease,0.026 +/- 0.032,0.014 +/- 0.017,0.008 +/- 0.009,0.006 +/- 0.005
crohn disease,0.031 +/- 0.025,0.025 +/- 0.023,0.014 +/- 0.013,0.011 +/- 0.004
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.02 +/- 0.024,0.012 +/- 0.015,0.007 +/- 0.009,0.009 +/- 0.008
dwarfism,0.0 +/- 0.0,0.015 +/- 0.018,0.008 +/- 0.009,0.004 +/- 0.005
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
