#rank	DIAMOnD_node	assortativity
1	SP1	-0.0558989373237912
2	RB1	-0.039078997416156884
3	MAPK14	0.0034378842305745495
4	HSPA8	0.06682098149552339
5	JUN	0.09664674378621736
6	CDKN1A	0.12212668500626807
7	KAT2B	0.14496412998457925
8	TP73	0.15316774882333684
9	MDM4	0.15828190986300586
10	CDK4	0.16098514600897135
11	HIF1A	0.18048927711767332
12	CREBBP	0.1851166236616965
13	HDAC3	0.18489341786876465
14	RUNX2	0.18790648857019232
15	FOS	0.19212880514639072
16	ATF3	0.20152164609977363
17	SMAD3	0.20499343113461796
18	VSIG10L	0.2049932008078723
19	OR9A4	0.21108312721636202
20	NCOA1	0.21044556357638833
21	HNF1A	0.2145330629885672
22	SMARCA4	0.21452740854278948
23	NCOA3	0.21319671857489725
24	RELA	0.22248943931774215
25	PGR	0.22957121593593074
