#rank	DIAMOnD_node	assortativity
1	STAB2	0.3898305084745768
2	ADAM15	0.38604651162790654
3	RPS6KA4	0.26717557251908397
4	EDF1	0.17474747474747368
5	BCL2L11	0.08942258559018884
6	PPARGC1A	0.029945170814002334
7	JUN	-0.00350877192982464
8	CREBBP	-0.011408562069354417
9	MYOD1	-0.002107748081949973
10	EP300	0.022636484687083968
11	ESR1	0.04857790083060579
12	NCOA6	0.05334669785054017
13	RXRA	0.06236110175769298
14	NCOA1	0.0774692350761837
15	KIAA1429	0.07774007038712896
16	RARA	0.0835778997065194
17	NCOA2	0.08028281170821236
18	NCOA3	0.07571416640340592
19	TP53	0.07785076666330597
20	FOS	0.07391810455381563
21	VDR	0.0688475469503212
22	NR0B2	0.07641000045374077
23	PPARG	0.08845029239766167
24	NSD1	0.08811092701497551
25	NCOR1	0.08221274378927501
