#rank	DIAMOnD_node	assortativity
1	CCL13	0.42857142857142816
2	CXCL17	0.5052061640982924
3	CXCL10	0.5545575515635398
4	ACKR1	0.589753852311387
5	CCL8	0.5974088622424367
6	SIGIRR	0.6067857833967615
7	IL5	0.6143630103295626
8	CXCL11	0.6139334367994485
9	CSF2RA	0.6173680063041767
10	XCL2	0.6233108108108114
11	CXCL12	0.6366621595518633
12	BLID	0.6370543274291727
13	STAP2	0.6450186219739295
14	CSF2RB	0.6414261365223953
15	AKIP1	0.6570751300454333
16	IL18	0.6583273041138314
17	KLK9	0.6663395961284547
18	IL6R	0.6810959646113572
19	PIK3AP1	0.6802343374284087
20	CCL26	0.6784533454481214
21	CCL28	0.6773145884453374
22	CXCL13	0.6774022145281273
23	ACKR4	0.6912778057558372
24	TICAM2	0.6872493025372075
25	XCL1	0.6836027189260531
