#rank	DIAMOnD_node	assortativity
1	CTNNB1	-0.15907843032213986
2	HSPA1A	-0.15370515809260962
3	HSPA8	-0.14806995107943016
4	TUBB	-0.14212824020394868
5	RPA1	-0.1378369674733625
6	YWHAE	-0.13292094890657288
7	RBM39	-0.12623193624902615
8	HSP90AB1	-0.11996890978853575
9	ATP5A1	-0.115806755751698
10	CHD4	-0.11258020837805549
11	FUS	-0.10753478451545513
12	EEF2	-0.1046434898523326
13	PHB	-0.10014764753405409
14	BRD4	-0.09554544015577036
15	PCBP1	-0.09151982637414514
16	HNRNPA1	-0.0855254657624994
17	NPM1	-0.0793208297496786
18	WDR5	-0.07352028008099055
19	UFL1	-0.06841021997721332
20	WWP2	-0.06376423100716555
21	SNAI1	-0.05942195012178267
22	DHX9	-0.05612334373272794
23	U2AF2	-0.05184511989511286
24	BTF3	-0.04767250305698572
25	CHD3	-0.04418974781299419
