#rank	DIAMOnD_node	assortativity
1	OR5AC2	0.0746987951807229
2	ERCC2	-0.05896510228640364
3	SP3	-0.14146341463414733
4	CREBBP	-0.12318840579710146
5	EP300	-0.10448602344454551
6	NCOA3	-0.14870378507312948
7	BRD4	-0.1330409356725134
8	NCOR1	-0.15247091471875196
9	HDAC1	-0.14473393278302132
10	KIAA1429	-0.1231780607428244
11	NCOR2	-0.12247350233278993
12	MYC	-0.10344291877292823
13	SP1	-0.09230208643885299
14	JUN	-0.08024220498067343
15	HIST1H4A	-0.07212276214833808
16	UBE2I	-0.06252555412391078
17	PML	-0.05850310730789461
18	BRCA1	-0.06116974168065954
19	CCDC144CP	-0.0625433986164805
20	TRIM25	-0.0646950092421432
21	NCOA1	-0.07340386514830426
22	SMAD3	-0.06478136625869846
23	RUNX1	-0.06880518908389452
24	VDR	-0.0674754565339031
25	PPARG	-0.06602150683169623
