#rank	DIAMOnD_node	assortativity
1	PTPN20B	5.828670879282056e-16
2	MET	0.12000000000000077
3	BTK	0.09512761020881629
4	PIK3R3	0.15391539153915404
5	NRON	0.1593137254901971
6	ZNF90	0.21135175504107467
7	NCK1	0.17346938775510196
8	ERBB4	0.21674876847290636
9	GRB2	0.24912978617603235
10	KIT	0.2760712931361385
11	NPY4R	0.283753676142947
12	ABL2	0.29111876434982215
13	HSH2D	0.23371900826446343
14	GAB1	0.22643752702118425
15	RASA1	0.1879681783868524
16	HSPA1A	0.16265232220936782
17	CRK	0.15235691147633207
18	OLIG1	0.12469429201054312
19	FCHSD1	0.15638108915006987
20	YES1	0.1468730805240653
21	SPRR2A	0.14227965217767255
22	ABL1	0.1492267108053587
23	DOK1	0.14357178230257422
24	CRKL	0.14183685656276063
25	PDGFRB	0.1412175144099485
