#rank	DIAMOnD_node	assortativity
1	CIC	-1.0
2	SNW1	-0.7142857142857137
3	GJA3	-0.2222222222222222
4	CDC5L	-0.03225806451612946
5	FERMT1	0.0412371134020622
6	SMCHD1	-0.005203816131829695
7	EFTUD2	0.0444689452407205
8	NTRK1	0.09411764705882353
9	RNPEP	0.07556497175141272
10	LMNA	0.04183770129460172
11	CUL3	0.06388728044779031
12	HNRNPH1	0.05297497040907635
13	PLEKHA4	0.06735395189003585
14	SMC1A	0.0525850396529312
15	PRPF8	0.04517892219660059
16	KIAA1429	0.052918228621714955
17	CNST	0.12097481292864248
18	PRPF19	0.10954326839298704
19	DDX5	0.1062444219962148
20	SF3B3	0.1126763747622981
21	SRRM1	0.11148091740709558
22	ZC3H18	0.11020082018029592
23	BRD4	0.12485683432049546
24	U2AF2	0.1250267151100669
25	HIST1H4A	0.13139264995010227
