#rank	DIAMOnD_node	assortativity
1	CXCL17	0.3747855917667237
2	CXCL2	0.5262889229198571
3	CCL11	0.626794258373206
4	HMGN1P30	0.64936886395512
5	CCL13	0.6575888985255849
6	XCL2	0.6640591513073297
7	CSF2RA	0.6684897758068482
8	CXCL11	0.6757314974182438
9	ACKR1	0.6788363467779306
10	CXCL12	0.685255879281161
11	BLID	0.6905008225497345
12	AMPD3	0.700066462005887
13	CXCL10	0.7056042912219923
14	STAP2	0.711240310077518
15	BGN	0.7103694142233693
16	HSD17B1	0.7229971907391248
17	CSF2RB	0.7165894086248071
18	AKIP1	0.7260834527220626
19	KLK9	0.7179801670146145
20	IL1RL1	0.7256945305973909
21	CCL26	0.7202544529262093
22	CCL28	0.7164906025239648
23	LTA	0.7186272454043475
24	XCL1	0.7209353381282759
25	CXCL14	0.7253809168111046
