#rank	DIAMOnD_node	assortativity
1	KAT2B	-0.15953731744542332
2	HIF1A	-0.15566430689963254
3	CREBBP	-0.1515420528820776
4	SP1	-0.14739405584043774
5	XRCC6	-0.1431119713470267
6	JUN	-0.13927431141214303
7	RBM39	-0.13511017846672543
8	HDAC1	-0.13098843368388371
9	HDAC2	-0.12745226750568675
10	MDM2	-0.12377925747028111
11	RB1	-0.1205187078524872
12	PRKDC	-0.11748109399377003
13	PCNA	-0.11485234066408741
14	SNAI1	-0.1114681238150417
15	HSPA8	-0.10804252533137626
16	GSK3B	-0.1050488812056586
17	RELA	-0.10184241600669788
18	CDK9	-0.09867309308467946
19	HDAC3	-0.09622953037233939
20	FUS	-0.09399488794815895
21	DHX9	-0.09173067622454328
22	CSNK2A1	-0.08965617804756416
23	CHD4	-0.08623687243345884
24	SNW1	-0.08376847143633295
25	TMPO	-0.08157607069135553
