#rank	DIAMOnD_node	assortativity
1	COPS5	-1.0
2	UCHL1	-0.6799999999999998
3	GJA3	-0.3793103448275862
4	CDK4	-0.09859154929577409
5	CUL3	0.038560411311054026
6	NTRK1	0.1669496321448777
7	OGFR	0.15399167612561443
8	AIFM1	0.1408075425292068
9	PHB	0.1226993865030683
10	TUFM	0.11698058742873722
11	HSPA8	0.12086579278817046
12	EFTUD2	0.16447221602320947
13	PLEKHA4	0.18002428658166228
14	SLC25A3	0.1777364276976611
15	TP53	0.1758174439084163
16	ZNF814	0.14827431220873788
17	PPEF1	0.12321443805154532
18	RPN1	0.13598489056771468
19	ATAD3A	0.12982989511776893
20	VCP	0.11985475944532971
21	TDRD12	0.10916555703506362
22	WDR5	0.09450483842881725
23	UFL1	0.09139154088218435
24	ESR1	0.10391291744691945
25	LOC100128429	0.1030969642939645
