#rank	DIAMOnD_node	assortativity
1	YWHAZ	-0.4730878186968839
2	IRS1	-0.37868632707774785
3	SH2B1	-0.3075611142694714
4	AKT1	-0.22884172845819448
5	RASSF1	-0.20503807850029293
6	RAF1	-0.16839378238341676
7	TERT	-0.12499999999999989
8	MAP2K3	-0.07112679123655331
9	FGFR4	-0.04154490404603404
10	CDK6	-0.0038726682887277315
11	CDKN2B	0.02685668862139485
12	LATS2	0.05730609418282478
13	IRS2	0.09771174493005343
14	STK11	0.1413233749562378
15	BECN1	0.16392575283276728
16	STK4	0.18045942344914784
17	MAP2K5	0.1974085080797121
18	GLIS2	0.22582541924593116
19	CCND2	0.2514599850733173
20	EPHA2	0.26493570051132814
21	CDK4	0.2856355597241242
22	ABL1	0.298843143220668
23	TEAD2	0.30814676746865427
24	NF2	0.3101980623748682
25	BRCA1	0.3304369907743437
