#rank	DIAMOnD_node	assortativity
1	GJA3	-1.0
2	PSG2	-0.4999999999999998
3	CNST	0.9999999999999966
4	TFE3	-0.16666666666667096
5	TFEC	-0.05882352941176507
6	TFEB	0.47826086956521485
7	STUB1	0.5810055865921774
8	LEF1	0.4130434782608702
9	SMAD3	0.4679943100995741
10	ST6GALNAC2	0.3846153846153859
11	FOXO1	0.2608695652173913
12	XPO1	0.2361111111111116
13	EP300	0.23477672530446603
14	SMAD1	0.2449664429530197
15	AR	0.2681404766646748
16	HDAC1	0.2801102072946742
17	CTNNB1	0.26857567443987335
18	SMAD2	0.27805280528052795
19	CREBBP	0.2972134925623293
20	FHL2	0.27779603911578593
21	RUNX2	0.29648944903182184
22	RUNX1	0.3084621482362282
23	HIF1A	0.30486973589430033
24	MYC	0.28979735786395283
25	HIST1H4A	0.2756814358495427
