#rank	DIAMOnD_node	assortativity
1	CXCL17	0.48298718515245237
2	HMGN1P30	0.5244618395303321
3	TRIL	0.538123167155425
4	IL18BP	0.550155118924509
5	ZAN	0.5510735198438519
6	MC5R	0.5767289997031756
7	IL5	0.5755009878633927
8	MC3R	0.5738498789346238
9	IL2	0.5934230194319879
10	XCL2	0.5901951451689671
11	CXCL10	0.6338677960974124
12	CCL13	0.6701549517179431
13	CXCL11	0.7026114762835308
14	ACKR1	0.7056504599211564
15	CXCL12	0.7017900660974455
16	CXCL2	0.6684985155707156
17	XCL1	0.6444464088397792
18	CCL26	0.6161924505091468
19	HSPA5	0.6214543937708568
20	DDX58	0.6264860061050217
21	CCL28	0.6216001588246972
22	CCL21	0.6251497995784948
23	CXCL14	0.6281794047594679
24	SNORD58B	0.6207759131923393
25	SNORA14A	0.6083705763564741
