#rank	DIAMOnD_node	assortativity
1	PIK3CB	0.49367088607594983
2	BTK	0.6220930232558131
3	FCHSD1	0.4086021505376337
4	PPM1B	0.24999999999999925
5	PTPRR	0.22495446265938074
6	CRKL	0.16268429079816896
7	SYK	0.16981726528040372
8	MET	0.23091458805744483
9	ERBB2	0.30630630630630623
10	ERBB4	0.3262195121951222
11	CBL	0.42890816991825065
12	PIK3R1	0.41210374639769265
13	PIK3R2	0.4088707570489756
14	NTRK1	0.4364100855270459
15	PIK3R3	0.43690941266820293
16	GAB1	0.46372024745727214
17	NRON	0.46463312422218206
18	NPY4R	0.48456467824043775
19	ABL1	0.4296672372276543
20	LYN	0.42322421604151833
21	GRB2	0.4386823813841032
22	SHC1	0.40920186639912903
23	KIT	0.4265259149372216
24	CRK	0.41804774017831786
25	CBLB	0.4124468496327774
