#rank	DIAMOnD_node	assortativity
1	FES	-0.20370370370370425
2	HSH2D	-0.044321329639889245
3	TERT	-0.056994818652849256
4	HGF	-0.13636363636363621
5	GAB1	-0.04035874439461849
6	EGFR	0.005761316872427984
7	SH2D2A	-0.04667609618104527
8	PIK3R1	0.007375125712370668
9	PIK3R3	0.040068346860315844
10	CRK	0.05986229942672833
11	AR	0.09338566316518408
12	SRC	0.09824427592883264
13	ERBB3	0.09801034832239695
14	SYK	0.06373329398700085
15	GRB2	0.06340014847810005
16	PIK3R2	0.05054961551933939
17	KIT	0.1044398869242283
18	ERBB4	0.11547115497591455
19	ABL1	0.10640869521916912
20	PTPN11	0.08788186413166348
21	CBL	0.08001772101015389
22	SHC1	0.07240908299392207
23	CBLB	0.061084295247862484
24	LYN	0.04894986926083118
25	KIAA1429	0.04114096105942647
