#rank	DIAMOnD_node	assortativity
1	MAPT	-0.20810063873949292
2	PRDX2	-0.19805564525723576
3	RNF32	-0.190279443778044
4	CDK5	-0.17582783030072688
5	ECSIT	-0.16307226048786008
6	CDC37	-0.13776266075232518
7	IFIT5	-0.12453801673835702
8	MAST1	-0.11282838005289564
9	FBXL12	-0.09963896414556282
10	GCDH	-0.08852664049017775
11	CYP2C9	-0.07502549659106797
12	CYP2C8	-0.07048249103267308
13	EXOC6	-0.06677092227319426
14	IFIT3	-0.06169605639125242
15	NOS3	-0.06009583611984072
16	RAD23A	-0.05577079857924559
17	LOXL4	-0.05182306023675816
18	SRPRB	-0.043830797791674474
19	EEF2	-0.04346701106912831
20	LONP1	-0.02806233180927764
21	HNRNPD	-0.029372536453305058
22	IMMT	-0.029089009160091887
23	CYP2C18	-0.030989994386227376
24	NDUFS1	-0.034556644547854724
25	PKM	-0.0405083819217228
