#rank	DIAMOnD_node	assortativity
1	YAP1	-0.15288996558092285
2	FLOT1	-0.1485623808089403
3	MARCKS	-0.14592115919318496
4	CALM1	-0.14316260370331454
5	HSP90AB1	-0.14048594971069853
6	MYH9	-0.135106073494063
7	LYN	-0.13197701701957434
8	SPTAN1	-0.12859023422538615
9	JUP	-0.12487107369838131
10	EMD	-0.12177107705192354
11	HUWE1	-0.11949966041004921
12	TMPO	-0.1159678660450983
13	CDK9	-0.11313877130852419
14	CCDC8	-0.11062093517027122
15	IQGAP1	-0.10537641314226055
16	TMOD1	-0.1025627646626506
17	CLTC	-0.1008421251518972
18	BTF3	-0.09872143648689301
19	SVIL	-0.09698717347325658
20	MYO1C	-0.09443615761159788
21	FLNA	-0.0914953116164041
22	ACTB	-0.08815421482100001
23	LIMA1	-0.08515567762937203
24	MYO18A	-0.08277229669294765
25	DBN1	-0.07901021056847911
