#rank	DIAMOnD_node	assortativity
1	PEBP1	-0.26984126984127016
2	IL17D	-0.18705035971222989
3	AURKA	-0.20273348519362186
4	AKT1	-0.020543406229290618
5	RASSF1	0.03197674418604696
6	TERT	0.09915131442765474
7	STK11	0.14598540145985384
8	MAP2K3	0.17923015236567666
9	CDKN2B	0.17483030636580352
10	TEAD2	0.1837100825260139
11	GLIS2	0.19996674149829463
12	BECN1	0.224871153440429
13	CCND2	0.24709604896123824
14	FGFR4	0.27244039270687276
15	CDK4	0.2889911432786386
16	MAP2K5	0.2971777048336215
17	MET	0.30468273831909054
18	CDK6	0.3079142944684737
19	MDM4	0.32448939775119423
20	LATS2	0.33037029018613967
21	NF2	0.3326227940492975
22	HGF	0.33196451301338936
23	FZR1	0.33101197246358716
24	ARNT	0.3238066167352266
25	PML	0.3171380227217794
