#rank	DIAMOnD_node	assortativity
1	CTNNB1	-0.14263830873644534
2	HSPA5	-0.11422685132196408
3	MAPK9	-0.0980845442536331
4	IGFBP3	-0.08185773550541332
5	CYP2C8	-0.07389136370713835
6	CYP2C18	-0.0690335930406877
7	ELK1	-0.0669027586673585
8	HSPA8	-0.043405665953699955
9	HSPB1	-0.028562622007603174
10	CDC37	-0.008052868891211373
11	AKT1	0.0027510669234742024
12	STUB1	0.01389637861191944
13	TEX101	0.03123521094298195
14	SP1	0.040841835232217925
15	BAG2	0.055783242514939525
16	HDAC4	0.05805708228624723
17	AR	0.0682173641494166
18	HDAC3	0.07881212994522514
19	HIF1A	0.08873852823712797
20	UBC	0.0953291703219159
21	PRKDC	0.0994233895223002
22	HSP90AB1	0.10942166892851765
23	GSK3B	0.1168855453152288
24	MDM2	0.1210892310906102
25	VCP	0.12504475689769975
