#rank	DIAMOnD_node	assortativity
1	PABPC1	-0.10207576110393594
2	RPL17	-0.09276852524868351
3	RPL4	-0.0803804429810468
4	RPL6	-0.06843722076640757
5	RPL7A	-0.055165379292235084
6	RBM39	-0.04192017987714748
7	RPS4X	-0.029401528735197333
8	RPL5	-0.01706503416396708
9	RPL21	-0.0053264326214668214
10	RPL30	0.006918998915032607
11	RPL3	0.02297636417827931
12	HNRNPU	0.03722941528465103
13	RPL12	0.05035866812689471
14	RPL23A	0.06464621057939006
15	RPS2	0.07852384931226346
16	RPL7	0.09208930814839177
17	RPS9	0.1057851925516534
18	RPS23	0.1189061285571991
19	RPL35	0.13153253149661828
20	RPS16	0.14462313053415818
21	RPS24	0.1578982781857591
22	RPL9	0.17021998894300788
23	RPL18A	0.18219565072340765
24	RPS12	0.1935787470582487
25	RPL10A	0.2048145378306435
