#rank	DIAMOnD_node	assortativity
1	RPA1	-0.20397167327427793
2	CREBBP	-0.20004501450282752
3	XRCC6	-0.1957811308699243
4	PCNA	-0.19180072705759116
5	HDAC1	-0.1879179485853218
6	MDM2	-0.1838231327278785
7	HSPA8	-0.18033158837073657
8	FUS	-0.1761328012601221
9	CDK9	-0.17205898326703983
10	TUBB	-0.16872654155137873
11	WDR5	-0.16480500300117712
12	BRD4	-0.16126220571613264
13	RPA2	-0.15764154627503385
14	DHX9	-0.15464235820650535
15	PRKDC	-0.15181309188186196
16	HDAC2	-0.14885888345497797
17	CHD4	-0.1444864774303061
18	PHB	-0.14122826464126806
19	HNRNPD	-0.1382794860259462
20	RBM39	-0.13221242216451298
21	SNW1	-0.12896160994377873
22	CHD3	-0.12549459892483844
23	EFTUD2	-0.1225087705441257
24	HNRNPA1	-0.11873960626182213
25	STAU1	-0.11405778187481713
