Disease,Num disease genes,LCC_size,Density,Disgenes Percentage,Longpath LCC,Longpath interactome,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
Psoriasis,57,21,12.857.142.857.142.800,3.684.210.526.315.780,4.0,8.0,"('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('diamond', 0.08)","('pdiamond', 0.02)","('draw', 0.0)","('pdiamond', 0.07)"
Liver carcinoma,507,395,2.990.426.010.409.300,7.790.927.021.696.250,9.0,13.0,"('diamond', 0.03)","('diamond', 0.02)","('draw', 0.0)","('pdiamond', 0.01)","('diamond', 0.16)","('diamond', 0.1)","('diamond', 0.05)","('pdiamond', 0.06)"
"Liver Cirrhosis, Experimental",774,614,1.028.742.075.869.720,7.932.816.537.467.700,10.0,13.0,"('pdiamond', 0.01)","('pdiamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.02)","('diamond', 0.02)","('diamond', 0.02)"
"Diabetes Mellitus, Non-Insulin-Dependent",221,91,3.418.803.418.803.410,4.117.647.058.823.520,6.0,12.0,"('diamond', 0.02)","('diamond', 0.01)","('diamond', 0.01)","('draw', 0.0)","('pdiamond', 0.04)","('diamond', 0.08)","('pdiamond', 0.01)","('pdiamond', 0.06)"
Papillary Renal Cell Carcinoma,128,72,5.712.050.078.247.260,93.45.00,6.0,11.0,"('pdiamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.02)","('pdiamond', 0.02)","('pdiamond', 0.02)"
Malignant neoplasm of ovary,137,108,7.857.390.100.380.750,7.883.211.678.832.110,6.0,10.0,"('draw', 0.0)","('pdiamond', 0.01)","('pdiamond', 0.01)","('pdiamond', 0.01)","('diamond', 0.08)","('pdiamond', 0.06)","('pdiamond', 0.17)","('pdiamond', 0.19)"
Steatohepatitis,88,37,7.807.807.807.807.800,42.045.454.545.454.500,3.0,8.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.04)","('diamond', 0.1)","('pdiamond', 0.03)","('pdiamond', 0.06)"
Disproportionate short stature,77,13,21.794.871.794.871.700,16.883.116.883.116.800,2.0,9.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.01)","('draw', 0.0)"
Stomach Neoplasms,297,247,36.075.178.565.550.800,8.316.498.316.498.310,10.0,13.0,"('draw', 0.0)","('diamond', 0.01)","('diamond', 0.02)","('diamond', 0.01)","('diamond', 0.28)","('diamond', 0.16)","('diamond', 0.07)","('diamond', 0.02)"
Pneumonitis,54,11,0.2,2.037.037.037.037.030,3.0,8.0,"('diamond', 0.03)","('diamond', 0.01)","('draw', 0.0)","('draw', 0.0)","('diamond', 0.12)","('diamond', 0.06)","('draw', 0.0)","('pdiamond', 0.06)"
"Heart Failure, Right-Sided",110,50,61.224.489.795.918.300,45.454.545.454.545.400,4.0,12.0,"('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)"
"Alcoholic Intoxication, Chronic",268,129,26.283.914.728.682.100,48.134.328.358.208.900,6.0,12.0,"('diamond', 0.02)","('draw', 0.0)","('draw', 0.0)","('draw', 0.0)","('pdiamond', 0.12)","('pdiamond', 0.04)","('pdiamond', 0.01)","('pdiamond', 0.01)"
